College Name,Place,Approval,Establishment,University Type,College Rating,College Summary
RMLNLU,"Lucknow,  Uttar Pradesh",BCI,Estd 2005,State University,7.5,"Institute of Insurance and Risk Management is the only dedicated institution for education in the financial sector. IIRM, Hyderabad offers postgraduate certificate courses in the discipline of Financial Service, Finance, Business Analytics, Risk Management, etc."
IIRM Hyderabad,"Hyderabad,  Telangana",AICTE,Estd 2002,Public,8.1,
"Andhra University, Dr. B. R. Ambedkar College of law, Visakhapatnam","Visakhapatnam,  Andhra Pradesh",,Estd 1945,Public,8.4,Some of the highlights of UCMS Delhi are mentioned below:
UCMS Delhi,"New Delhi,  Delhi NCR",MCI,Estd 1971,Public,8.7,
"Sri Ramachandra Dental College, Chennai","Chennai,  Tamil Nadu",DCI,Estd 1995,Public,,
"Sairam Institute of Management Studies - [SIMS], Chennai","Chennai,  Tamil Nadu",AICTE,Estd 1998,Private Institute,8.4,
St. Joseph's College Trichy,"Tiruchirappalli,  Tamil Nadu",UGC,Estd 1844,Private (Autonomous),8.5,"JIS University, Kolkata is ranked 1st in the category of Multidisciplinary University (Overall Rank 76 in India) and Private & Deemed Multidisciplinary Category (Overall Rank 38) in The Week - Hansa Research Survey 2020. JIS University offers undergraduate, postgraduate and diploma courses in the specialized fields of Science, Engineering & Technology, Pharmacy, Management, Law, Social Sciences and Education. Admission to the JIS University done on the basis of merit, entrance examination and cutoff criteria of the institute. The University provides PhD programs in various courses as well. The University always encourages entrepreneurship and skill development among the students for promoting entrepreneurship, employability and self-employment."
JIS University,"Kolkata,  West Bengal","NCTE, AICTE, PCI, BCI, UGC, AIU",Estd 2014,Private University,8.2,"Dayanand Medical College and Hospital, popularly known as DMCH Ludhiana, is a prestigious medical college established in 1964 in Ludhiana, Punjab. DMCH Ludhiana has emerged as an institution of excellence in medical education, patient care, and research. DMCH Ludhiana is affiliated with the Baba Farid University of Health Sciences (BFUHS), Faridkot."
DMCH Ludhiana,"Ludhiana,  Punjab",MCI,Estd 1937,Private,8.3,"Jai Hind College, established in 1948, is an autonomous college located in Mumbai and affiliated with the University of Mumbai. It is a junior college as well as a regular degree college. The college offers all three subject streams of Science, Commerce, and Arts for 12th grade and offers 12 undergraduate programs, 5 postgraduate programs, 1 Research program and 25 Certificate/Skill development/Value-added Courses, and also several self-financed and vocational courses to improve the employability of the students. Check More Jai Hind College Admission "
Jai Hind College,"Mumbai,  Maharashtra",UGC,Estd 1948,Public (Autonomous),8.5,"Kishinchand Chellaram College (KC College) was established in the year 1954 under the aegis of the Hyderabad (Sind) National Collegiate Board. The college is permanently affiliated with the HSNC University, Mumbai and recognized by the Government of Maharashtra. KC College has been re-accredited with an A grade by NAAC in three consecutive cycles."
KC College Mumbai,"Mumbai,  Maharashtra",,Estd 1954,Public,8.2,"Loyola Academy Degree and PG College, established in 1976, is affiliated to Osmania University. The college has been accredited with an 'A' grade by NAAC. The college offers various Undergraduate and Postgraduate courses in the field of Arts, Commerce, and Science. Admissions are offered strictly based on entrance marks in TSICET for MBA and MCA courses. Mammoth IT companies like Green park, Deloitte, Wells Fargo, Franklin Templeton,  Wipro, Qualcomm, JP Morgan, Regalix, etc have visited campus for mass recruitment."
Loyola Academy and PG College,"Secunderabad,  Telangana",UGC,Estd 1976,Private Institute,8.1,"ASCI, Hyderabad, Telangana, was established in 1956 at the joint initiative of both the Government of India (GoI) and the industry, as an autonomous, self-supporting, public-purpose institution. It is the oldest management institution in India for practising managers. The College is approved by AICTE and offers a PGDM program in 5 specializations and a PGDM (Hospital Management) program. Admission to the PGDM course is done through valid scores in CAT, XAT, MAT, ATMA, CMAT, GMAT and for PGDM Hospital Management, the admission is on the basis of Personal Interview. The candidates shortlisted for admission are invited for PI at Hyderabad. The application forms are available at the official website of the institute which can be downloaded, filled and sent with a non-refundable DD of INR 1,000 drawn in favour of the Administrative Staff College of India. "
Administrative Staff College Of India,"Hyderabad,  Telangana",AICTE,Estd 1956,Public (Autonomous),8.7,
"Amity School of Communication - [ASCO], Noida","Noida,  Uttar Pradesh","AICTE, UGC",Estd 1999,Private,7.3,The important highlights of Saveetha Medical College are mentioned below: 
Saveetha Medical College,"Chennai,  Tamil Nadu",MCI,Estd 2008,Private,8.6,"Bengal Institute of Business Studies (BIBS), Kolkata is the only B-School in West Bengal with A** rating from CRISIL and ranked amongst the top 3 Business Schools in Eastern India by The Times of India B-School Survey for 4 consecutive years 2018-2021. The popular courses of BIBS are PGPBM-MBA, PGPBA and DS-MBA in Business Analytics & Data Science program, offered in collaboration with IBM and Harvard Business School Online. The institute also offers PGPSCM-MBA in Supply Chain Management and PGPFM-MBA in Finance Management. Admission to BIBS Kolkata is done on the basis of marks secured in CAT/ MAT/ XAT/ ATMA/ GMAT/ CMAT/ BIBSAT. BIBS was ranked among the Best Business Schools in Asia by Asia Education Awards 2022. According to Knowledge Review, BIBS is ranked amongst the 10  Best Institutes for Financial Studies."
Bengal Institute of Business Studies,"Kolkata,  West Bengal",UGC,Estd 2008,Private Institute,7.5,
"Andhra University, College of Pharmaceutical Sciences, Visakhapatnam","Visakhapatnam,  Andhra Pradesh",PCI,Estd 1975,Public,8.0,"Jesus & Mary College is a constituent college of Delhi University (DU) and was founded in 1968 by the Sisters of Jesus and Mary Congregation which originated in France in 1818 and is affiliated to the University of Delhi (DU). The college is accredited Grade A by NAAC. Initially. the college had enrolled 116 students and appointed 8 faculty members. JMC is the study centre of IGNOU under which 35K students are enrolled. Also, the Non-Collegiate Women's Education Board’s (NCWEB) center started operating in the JMC."
Jesus and Mary College (JMC),"New Delhi,  Delhi NCR",,Estd 1968,Public,8.0,"Gian Jyoti Institute of Management and Technology, established in 1998, is a private institute affiliated with IKG Punjab Technical University and approved by AICTE, New Delhi. The institute offers UG and PG courses in the field of Management, Computer Application, and Commerce. The most popular courses of the institute include a 2 year full-time MBA course in 6 specializations and a 2-year full-time M.C.A course. Apart from that, GJIMT has BBA, B.Com (Hons.), and BCA. For admission to the MBA course, candidates need to obtain a valid score in MAT/CMAT/CAT. "
Gian Jyoti Institute of Management and Technology,"Mohali,  Punjab",AICTE,Estd 1998,Private,8.2,"Banasthali Vidyapith University, Jaipur offers courses from elementary to doctoral levels. Banasthali University offers a variety of Undergraduate, Graduate, and Doctoral level Programs under distinct Departments. Admission to the same is based on performance in the qualifying examination; however, for some programmes, a university-level aptitude test is also administered."
Banasthali Vidyapeeth,"Jaipur,  Rajasthan",UGC,Estd 1983,Deemed University,8.5,"University of Calcutta, informally known as Calcutta University or CU, is public-state university located in Kolkata, West Bengal. Established in 1857, it is the oldest multidisciplinary university of Indian Subcontinent and South East Asian Region. Calcutta University is recognized as a ""Five-Star University"" and accredited an ""A++"" grade by the NAAC. Calcutta University is ranked 12th among the top universities in India in NIRF Rankings 2023. "
Calcutta University,"Kolkata,  West Bengal",UGC,Estd 1857,State University,7.4,
SICSR Pune,"Pune,  Maharashtra",,Estd 1985,Private Institute,6.9,"IIT Gandhinagar is a public technical university founded in 2008 and is recognized as an Institution of National Importance by GOI. IIT Gandhinagar's 400-acre campus is located on the banks of river Sabarmati in Palaj, Gandhinagar. IITG Boasts its campus being India's first 5-star GRIHA LD (Green) campus for minimizing the negative impact on the environment. IIT Gandhinagar offers 50 engineering, mathematics, cognitive science, humanities, and social sciences courses. As per the NIRF 2023 ranking, IIT Gandhinagar is ranked at 18 in the Top Engineering colleges in India."
